Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2025;3;Santa Fe;28.0;113387.0;24.7
2025;4;San Cristóbal;26.0;401414.0;6.5
2025;5;Usme;30.0;403137.0;7.4
2025;6;Tunjuelito;14.0;177370.0;7.9
2025;7;Bosa;41.0;767340.0;5.3
2025;8;Kennedy;57.0;1080598.0;5.3
2025;9;Fontibón;50.0;391475.0;12.8
2025;10;Engativá;54.0;827379.0;6.5
2025;11;Suba;44.0;1246637.0;3.5
2025;12;Barrios Unidos;10.0;139756.0;7.2
2025;13;Teusaquillo;22.0;157566.0;14.0
2025;14;Los Mártires;17.0;83987.0;20.2
2025;15;Antonio Nariño;21.0;79758.0;26.3
2025;16;Puente Aranda;34.0;251711.0;13.5
2025;17;La Candelaria;0.0;16801.0;0.0
2025;18;Rafael Uribe Uribe;22.0;379109.0;5.8
2025;19;Ciudad Bolívar;56.0;680206.0;8.2
2025;20;Sumapaz;1.0;3649.0;27.4
