Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2024;17;La Candelaria;2;16.927;11,8
2024;18;Rafael Uribe Uribe;22;380.283;5,8
2024;19;Ciudad Bolívar;31;674.259;4,6
2024;20;Sumapaz;2;3.611;55,4
2024;99;Sin dato;51;;
2024;0;Distrito;665;7929539;8,4
2025;1;Usaquén;46;572925;8
2025;2;Chapinero;18;163693;11
2025;3;Santa Fe;28;113387;24,7
2025;4;San Cristóbal;26;401414;6,5
2025;5;Usme;30;403137;7,4
2025;6;Tunjuelito;14;177370;7,9
2025;7;Bosa;41;767340;5,3
2025;8;Kennedy;57;1080598;5,3
2025;9;Fontibón;50;391475;12,8
2025;10;Engativá;54;827379;6,5
2025;11;Suba;44;1246637;3,5
2025;12;Barrios Unidos;10;139756;7,2
2025;13;Teusaquillo;22;157566;14
2025;14;Los Mártires;17;83987;20,2
2025;15;Antonio Nariño;21;79758;26,3
2025;16;Puente Aranda;34;251711;13,5
2025;17;La Candelaria;;16801;0
2025;18;Rafael Uribe Uribe;22;379109;5,8
2025;19;Ciudad Bolívar;56;680206;8,2
2025;20;Sumapaz;1;3649;27,4
2025;99;Sin dato;21;;
2025;0;Distrito;612;7937898;7,7
