"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"91,""A000575534"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"92,""A000575536"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""CON HERIDOS"""
"93,""A000575528"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""CON HERIDOS"""
"94,""A000575533"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""CON HERIDOS"""
"95,""A000575537"",""2017-05-31T00:00:00.000"",""2017"",""5"",""miércoles"",""SOLO DAÑOS"""
"96,""A000575546"",""2017-06-09T00:00:00.000"",""2017"",""6"",""viernes"",""SOLO DAÑOS"""
"97,""A000575544"",""2017-06-09T00:00:00.000"",""2017"",""6"",""viernes"",""CON HERIDOS"""
"98,""A000575548"",""2017-06-09T00:00:00.000"",""2017"",""6"",""viernes"",""SOLO DAÑOS"""
"99,""A000575545"",""2017-06-13T00:00:00.000"",""2017"",""6"",""martes"",""SOLO DAÑOS"""
"100,""A000575556"",""2017-06-13T00:00:00.000"",""2017"",""6"",""martes"",""CON HERIDOS"""
"101,""A000575521"",""2017-06-13T00:00:00.000"",""2017"",""6"",""martes"",""CON HERIDOS"""
"102,""A000575542"",""2017-06-13T00:00:00.000"",""2017"",""6"",""martes"",""CON HERIDOS"""
"103,""A000575560"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"104,""A000575541"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""SOLO DAÑOS"""
"105,""A000575558"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""SOLO DAÑOS"""
"106,""A000575553"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"107,""A000575557"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"108,""A000575559"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"109,""A000575554"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"110,""A000575571"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""CON HERIDOS"""
"111,""A000575552"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""SOLO DAÑOS"""
"112,""A000575570"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""SOLO DAÑOS"""
"113,""A000575555"",""2017-06-14T00:00:00.000"",""2017"",""6"",""miércoles"",""SOLO DAÑOS"""
"114,""A000575577"",""2017-06-15T00:00:00.000"",""2017"",""6"",""jueves"",""SOLO DAÑOS"""
"115,""A000575575"",""2017-06-15T00:00:00.000"",""2017"",""6"",""jueves"",""CON HERIDOS"""
"116,""A000575565"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""SOLO DAÑOS"""
"117,""A000575578"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""CON HERIDOS"""
"118,""A000575563"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""CON HERIDOS"""
"119,""A000575562"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""CON HERIDOS"""
"120,""A000575561"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""SOLO DAÑOS"""
"121,""A000575564"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""CON HERIDOS"""
"122,""A000575576"",""2017-06-16T00:00:00.000"",""2017"",""6"",""viernes"",""SOLO DAÑOS"""
"123,""A000575568"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"124,""A000575573"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"125,""A000575549"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"126,""A000575550"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"127,""A000575567"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""CON HERIDOS"""
"128,""A000575584"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"129,""A000575572"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"130,""A000575579"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"131,""A000575566"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""CON HERIDOS"""
"132,""A000575569"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""CON HERIDOS"""
"133,""A000575583"",""2017-08-10T00:00:00.000"",""2017"",""8"",""jueves"",""CON HERIDOS"""
"134,""A000575587"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""SOLO DAÑOS"""
"135,""A000575602"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""CON HERIDOS"""
"136,""A000575585"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""CON HERIDOS"""
"137,""A000575590"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""SOLO DAÑOS"""
"138,""A000575589"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""SOLO DAÑOS"""
"139,""A000575586"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""SOLO DAÑOS"""
"140,""A000575596"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""CON HERIDOS"""
"141,""A000575588"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""CON HERIDOS"""
"142,""A000575592"",""2017-08-11T00:00:00.000"",""2017"",""8"",""viernes"",""CON HERIDOS"""
"143,""A000575603"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""SOLO DAÑOS"""
"144,""A000575609"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""CON HERIDOS"""
"145,""A000575595"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""SOLO DAÑOS"""
"146,""A000575601"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""CON HERIDOS"""
"147,""A000575605"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""SOLO DAÑOS"""
"148,""A000575593"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""SOLO DAÑOS"""
"149,""A000575594"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""CON HERIDOS"""
"150,""A000575608"",""2017-08-14T00:00:00.000"",""2017"",""8"",""lunes"",""SOLO DAÑOS"""
"151,""A000575597"",""2017-08-15T00:00:00.000"",""2017"",""8"",""martes"",""CON HERIDOS"""
"152,""A000575616"",""2017-08-15T00:00:00.000"",""2017"",""8"",""martes"",""SOLO DAÑOS"""
"153,""A000575607"",""2017-08-15T00:00:00.000"",""2017"",""8"",""martes"",""CON HERIDOS"""
"154,""A000575606"",""2017-08-15T00:00:00.000"",""2017"",""8"",""martes"",""CON HERIDOS"""
"155,""A000575604"",""2017-08-15T00:00:00.000"",""2017"",""8"",""martes"",""SOLO DAÑOS"""
"156,""A000575581"",""2017-08-31T00:00:00.000"",""2017"",""8"",""jueves"",""CON HERIDOS"""
"157,""A000575615"",""2017-08-31T00:00:00.000"",""2017"",""8"",""jueves"",""SOLO DAÑOS"""
"158,""A000575580"",""2017-09-01T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
