"RADICADO,""FECHA 1"",""HORA"",""DÍA DE LA SEMANA"",""CLASE"",""DIRECCIÓN"",""GRAVEDAD"",""BARRIO"",""DISEÑO"""
"2.913,""2004-11-02"",""5:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.914,""2004-11-15"",""5:00:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA VARIANTE"",""LOTE O PREDIO"""
"2.915,""2004-11-03"",""9:10:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.916,""2004-11-14"",""10:40:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""LOTE O PREDIO"""
"2.917,""2004-11-07"",""5:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.918,""2004-11-27"",""12:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.919,""2004-11-04"",""7:20:00"",""JUEVES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.920,""2004-11-14"",""10:30:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""LA RIVERA"",""TRAMO DE VIA"""
"2.921,""2004-11-04"",""7:40:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.922,""2004-11-27"",""6:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.923,""2004-11-15"",""6:35:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""MANDALAY"",""SIN INFORMACION"""
"2.924,""2004-11-05"",""11:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.925,""2004-11-15"",""1:40:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LOS CEREZOZ"",""SIN INFORMACION"""
"2.926,""2004-11-05"",""6:20:00"",""VIERNES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.927,""2004-11-06"",""7:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.928,""2004-11-16"",""7:30:00"",""MARTES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.929,""2004-11-06"",""5:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.930,""2004-11-16"",""4:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.931,""2004-11-07"",""11:35:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.932,""2004-11-16"",""1:00:00"",""MARTES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.933,""2004-11-07"",""3:40:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.934,""2004-11-17"",""9:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.935,""2004-11-07"",""3:30:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""LA CLARA"",""SIN INFORMACION"""
"2.936,""2004-11-18"",""11:35:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.937,""2004-11-08"",""9:00:00"",""LUNES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.938,""2004-11-18"",""9:30:00"",""JUEVES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.939,""2004-11-08"",""12:50:00"",""LUNES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.940,""2004-11-18"",""2:30:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.941,""2004-11-20"",""5:30:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA MIEL"",""TRAMO DE VIA"""
"2.942,""2004-11-20"",""1:50:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.943,""2004-10-20"",""12:50:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.944,""2004-11-21"",""11:40:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.945,""2004-11-22"",""6:10:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.946,""2004-11-22"",""7:50:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.947,""2004-12-08"",""3:10:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""ANDA LUCIA"",""SIN INFORMACION"""
"2.948,""2004-12-10"",""7:00:00"",""VIERNES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"2.949,""2004-12-12"",""11:40:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"2.950,""2004-12-14"",""8:05:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""CENTRO"",""TRAMO DE VIA"""
"2.951,""2004-12-14"",""5:30:00"",""MARTES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""BELLAVISTA"",""SIN INFORMACION"""
"2.952,""2004-12-09"",""1:20:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.953,""2004-12-20"",""11:15:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""SINIFANA"",""TRAMO DE VIA"""
"2.954,""2004-12-12"",""7:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.955,""2004-12-19"",""7:00:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""LA QUIEBRA"",""SIN INFORMACION"""
"2.956,""2004-12-12"",""1:50:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.957,""2004-12-20"",""9:20:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""TRAMO DE VIA"""
"2.958,""2004-12-20"",""3:00:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"2.959,""2004-12-12"",""2:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.960,""2004-12-20"",""1:20:00"",""LUNES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""OLAYA HERRERA"",""TRAMO DE VIA"""
"2.961,""2004-12-11"",""12:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.962,""2004-12-08"",""1:30:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.963,""2004-12-20"",""6:00:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""CENTRO"",""INTERSECCION"""
"2.964,""2004-12-11"",""5:30:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.965,""2004-12-17"",""12:15:00"",""VIERNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.966,""2004-12-11"",""10:00:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.967,""2004-12-17"",""6:45:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.968,""2004-12-01"",""10:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.969,""2004-12-22"",""8:50:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA TRIGALIA"",""TRAMO DE VIA"""
"2.970,""2004-12-02"",""11:00:00"",""JUEVES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.971,""2004-12-25"",""6:30:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""BELLAVISTA"",""SIN INFORMACION"""
"2.972,""2004-12-17"",""11:50:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.973,""2004-12-02"",""7:20:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.974,""2004-12-03"",""5:00:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.975,""2004-12-25"",""4:30:00"",""SABADO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"2.976,""2004-12-04"",""4:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"2.977,""2004-12-18"",""4:00:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.978,""2004-12-04"",""5:40:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.979,""2004-12-19"",""7:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.980,""2004-12-04"",""5:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.981,""2004-12-05"",""6:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.982,""2004-10-16"",""6:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.983,""2004-12-05"",""9:30:00"",""DOMINGO"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.985,""2004-12-24"",""4:30:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""BELLAVISTA"",""SIN INFORMACION"""
"2.986,""2004-12-06"",""7:30:00"",""LUNES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.987,""2004-12-06"",""5:10:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.988,""2004-12-25"",""10:30:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA RAYA"",""SIN INFORMACION"""
"2.989,""2004-12-07"",""7:40:00"",""MARTES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.990,""2004-12-30"",""12:00:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"2.991,""2004-12-29"",""11:00:00"",""MIERCOLES"",""VOLCAMIENTO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"2.992,""2004-12-07"",""2:30:00"",""MARTES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"2.993,""2004-12-30"",""7:10:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.994,""2004-12-29"",""5:30:00"",""MIERCOLES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"2.995,""2004-12-30"",""7:40:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""SIN INFORMACION"""
"2.996,""2004-12-25"",""7:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.997,""2004-12-21"",""5:05:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"2.998,""2004-12-22"",""9:15:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"2.999,""2004-12-22"",""5:30:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.000,""2004-12-08"",""9:00:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.001,""2003-01-01"",""6:10:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""PRIMAVERA"",""LOTE O PREDIO"""
"3.002,""2003-01-01"",""7:20:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.003,""2003-01-04"",""5:20:00"",""SABADO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.004,""2003-01-06"",""5:15:00"",""LUNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""SIN INFORMACION"""
"3.005,""2003-01-06"",""6:20:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""SALINAS"",""TRAMO DE VIA"""
"3.006,""2003-01-07"",""10:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.007,""2003-01-08"",""9:30:00"",""MIERCOLES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.008,""2003-01-08"",""9:45:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.009,""2003-01-10"",""10:30:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.010,""2003-01-10"",""11:00:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.011,""2003-01-10"",""2:05:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.012,""2003-01-11"",""9:50:00"",""SABADO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.013,""2003-01-12"",""12:30:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.014,""2003-01-13"",""12:30:00"",""LUNES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""LOS CEREZOZ"",""TRAMO DE VIA"""
"3.015,""2003-01-15"",""5:40:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.016,""2003-01-15"",""11:50:00"",""MIERCOLES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.017,""2003-01-17"",""8:30:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.018,""2003-01-24"",""1:40:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.019,""2003-01-24"",""6:40:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.020,""2003-01-25"",""5:00:00"",""SABADO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.021,""2003-01-20"",""5:40:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.022,""2003-01-26"",""12:30:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""LA INMACULADA"",""SIN INFORMACION"""
"3.023,""2003-01-26"",""7:30:00"",""DOMINGO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.024,""2003-01-18"",""1:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA VARIANTE"",""LOTE O PREDIO"""
"3.025,""2003-01-27"",""7:10:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA MIEL"",""TRAMO DE VIA"""
"3.026,""2003-01-30"",""5:20:00"",""JUEVES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""LA VARIANTE"",""TRAMO DE VIA"""
"3.027,""2003-01-30"",""4:00:00"",""JUEVES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.028,""2003-01-31"",""10:00:00"",""VIERNES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""LA RAYA"",""TRAMO DE VIA"""
"3.029,""2003-01-19"",""2:00:00"",""DOMINGO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.030,""2003-01-20"",""11:30:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.031,""2003-01-23"",""2:00:00"",""JUEVES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""CRISTO REY"",""SIN INFORMACION"""
"3.032,""2003-01-22"",""4:30:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.033,""2003-01-23"",""5:30:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.034,""2005-01-22"",""9:10:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"3.035,""2003-01-24"",""6:20:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.036,""2003-01-24"",""2:10:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""PARQUE LA LOCERIA"",""TRAMO DE VIA"""
"3.037,""2003-02-01"",""9:05:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.038,""2003-02-02"",""9:30:00"",""DOMINGO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""SIN INFORMACION"""
"3.039,""2003-02-02"",""8:10:00"",""DOMINGO"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""MANDALAY"",""SIN INFORMACION"""
"3.040,""2003-02-02"",""4:50:00"",""DOMINGO"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""INTERSECCION"""
"3.041,""2003-02-03"",""10:00:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""ALTO DE MINAS"",""TRAMO DE VIA"""
"3.042,""2003-02-03"",""5:40:00"",""LUNES"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""LA MIEL"",""SIN INFORMACION"""
"3.043,""2003-02-03"",""4:55:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.044,""2003-02-04"",""7:00:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.045,""2003-02-05"",""10:10:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""SIN INFORMACION"""
"3.046,""2003-02-05"",""5:20:00"",""MIERCOLES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.047,""2003-02-07"",""11:15:00"",""VIERNES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""LA MIEL"",""PASO ELEVADO"""
"3.048,""2003-02-09"",""12:20:00"",""DOMINGO"",""OTRO"",""SIN INFORMACION"",""HERIDOS"",""LA TOLVA"",""TRAMO DE VIA"""
"3.049,""2003-02-10"",""2:25:00"",""LUNES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.050,""2003-02-11"",""5:30:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""INTERSECCION"""
"3.051,""2003-02-11"",""7:30:00"",""MARTES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""PASO ELEVADO"""
"3.052,""2003-02-11"",""6:40:00"",""MARTES"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"3.053,""2003-02-12"",""4:00:00"",""MIERCOLES"",""CAIDA OCUPANTE"",""SIN INFORMACION"",""HERIDOS"",""LA CLARA"",""SIN INFORMACION"""
"3.054,""2003-02-13"",""2:50:00"",""JUEVES"",""CHOQUE"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.055,""2003-02-14"",""3:30:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.056,""2003-02-14"",""7:50:00"",""VIERNES"",""ATROPELLO"",""SIN INFORMACION"",""HERIDOS"",""PRIMAVERA"",""TRAMO DE VIA"""
"3.057,""2003-02-15"",""12:20:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
"3.058,""2003-02-15"",""1:50:00"",""SABADO"",""CHOQUE"",""SIN INFORMACION"",""DAÑOS"",""DESCONOCIDO"",""TRAMO DE VIA"""
